ID del juego,Repeticiones
461640,1
730,1
578080,1
570,1
42690,1
235600,1
364470,1
386360,1
444200,1
601510,1
386180,1
813820,1
10,1
714010,1
1556200,1
550,1
207610,1
239030,1
251570,1
271590,1
381210,1
427820,1
431730,1
431960,1
434170,1
493490,1
524660,1
535930,1
540840,1
493340,1
594330,1
610180,1
613100,1
621060,1
665300,1
414340,1
704850,1
714120,1
739630,1
770810,1
774461,1
750920,1
863550,1
532210,1
880940,1
728880,1
883710,1
936790,1
945360,1
673950,1
960910,1
960990,1
703080,1
1097150,1
1118240,1
1135690,1
1160920,1
1172470,1
1190970,1
1194630,1
1196590,1
1174180,1
1218280,1
1222140,1
1222670,1
442070,1
1281590,1
1332010,1
860510,1
1421250,1
1563180,1
1567020,1
1585220,1
1593500,1
1609080,1
1629520,1
1651560,1
1659040,1
990080,1
2200780,1
2249160,1
2357570,1
2667970,1
2670630,1
130,1
1200,1
3810,1
3970,1
2620,1
2630,1
2640,1
1520,1
6220,1
2990,1
7600,1
4520,1
2590,1
12160,1
12140,1
15270,1
12360,1
3050,1
10090,1
17470,1
15620,1
21780,1
16720,1
32670,1
21980,1
6060,1
32350,1
15190,1
19800,1
35300,1
8600,1
8690,1
4560,1
228200,1
24800,1
24840,1
32420,1
1500,1
500,1
3230,1
22310,1
12480,1
3730,1
3130,1
24960,1
32470,1
42960,1
39670,1
9010,1
47780,1
73010,1
73170,1
21090,1
21110,1
39530,1
42890,1
46540,1
95900,1
55150,1
35320,1
63940,1
70640,1
200020,1
203990,1
64000,1
202310,1
102600,1
200630,1
206690,1
204140,1
108710,1
204860,1
207150,1
46290,1
6870,1
6880,1
209100,1
98300,1
205350,1
211780,1
7770,1
11420,1
11480,1
25800,1
113200,1
214150,1
80,1
100,1
240,1
215670,1
72000,1
200510,1
218510,1
7830,1
217790,1
65740,1
8100,1
214590,1
33620,1
224900,1
55230,1
225140,1
44690,1
46260,1
12110,1
201790,1
208520,1
204080,1
102700,1
113400,1
200210,1
208090,1
212070,1
234310,1
238960,1
223710,1
224260,1
21690,1
221040,1
1250,1
234940,1
65930,1
231430,1
238210,1
10680,1
222480,1
231740,1
224420,1
9480,1
10460,1
251630,1
252170,1
253610,1
253880,1
253920,1
246090,1
256190,1
15320,1
257750,1
232010,1
20530,1
20550,1
260650,1
244090,1
238430,1
212010,1
214910,1
264730,1
34820,1
2210,1
273110,1
208670,1
244450,1
275510,1
275530,1
277430,1
280380,1
281260,1
281370,1
281410,1
283290,1
283370,1
283410,1
227100,1
247910,1
284160,1
286040,1
287020,1
36700,1
227560,1
287340,1
289300,1
289340,1
289580,1
292410,1
294190,1
289890,1
299050,1
299260,1
302080,1
304930,1
305260,1
311120,1
311140,1
311400,1
311870,1
312990,1
55100,1
315550,1
317360,1
319150,1
320340,1
8170,1
320840,1
287450,1
323190,1
324570,1
327010,1
261640,1
223650,1
330070,1
335320,1
230290,1
314420,1
343440,1
12120,1
346670,1
307780,1
348510,1
287290,1
310890,1
356500,1
232090,1
360940,1
361280,1
376750,1
382420,1
390670,1
371520,1
365810,1
305980,1
385600,1
408110,1
236110,1
411330,1
428430,1
268500,1
9850,1
411310,1
442810,1
448370,1
297450,1
455910,1
223100,1
390340,1
49540,1
511140,1
514080,1
514140,1
514150,1
489520,1
211400,1
550650,1
550900,1
552990,1
558260,1
563560,1
671440,1
694500,1
737870,1
741670,1
744900,1
40990,1
790710,1
809140,1
433850,1
837590,1
837600,1
656510,1
864450,1
893680,1
915490,1
920490,1
925570,1
936780,1
968550,1
717690,1
1058650,1
694280,1
1103800,1
1146300,1
1202130,1
1227530,1
1262600,1
1287000,1
1328660,1
1366540,1
1377920,1
1473250,1
1473480,1
1525700,1
616560,1
1140630,1
424840,1
1673630,1
1694600,1
1696400,1
1794680,1
1894430,1
1577120,1
2475420,1
2653790,1
440,1
20900,1
22370,1
230410,1
221100,1
270550,1
222880,1
299740,1
200110,1
333930,1
335330,1
346900,1
235540,1
363970,1
374320,1
377160,1
383080,1
311210,1
299360,1
367500,1
437220,1
440900,1
444090,1
379720,1
223850,1
319630,1
527230,1
403640,1
544920,1
552500,1
558100,1
524220,1
572520,1
646570,1
677620,1
611500,1
720560,1
469600,1
760160,1
770720,1
782330,1
809960,1
360620,1
884660,1
1059980,1
1094710,1
374280,1
1217060,1
1245620,1
1273710,1
1286830,1
1416260,1
843380,1
582660,1
1557990,1
1587130,1
823130,1
1240440,1
1745510,1
1782210,1
1599340,1
1966720,1
2067920,1
2073850,1
2088570,1
2075730,1
668580,1
2187290,1
1938090,1
2218750,1
2334730,1
2321470,1
1627720,1
1716740,1
1086940,1
212500,1
237310,1
1623730,1
282660,1
530620,1
218620,1
732730,1
504370,1
755790,1
1961460,1
1721470,1
4000,1
12210,1
8190,1
70000,1
620,1
92100,1
104900,1
214340,1
223470,1
226320,1
252950,1
270450,1
291010,1
293860,1
263060,1
296470,1
323850,1
331470,1
318100,1
339610,1
334040,1
349700,1
365300,1
348670,1
378370,1
291550,1
306040,1
314020,1
