ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased,Fecha,Dias_Pasados,Minutos Totales
330450,"Action, Casual, Indie","Single-player, Multi-player, Steam Achievements, Steam Trading Cards","{'date': '16 Oct, 2015'}",1.0,1,0,0,16/10/2015 00:00,3097,76
330680,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '18 Nov, 2014'}",0.0,1,599,0,18/11/2014 00:00,3429,56
275060,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing","{'date': '11 Jun, 2015'}",1.0,1,399,0,11/06/2015 00:00,3224,709
331190,"Action, Indie","Single-player, Full controller support, Steam Trading Cards, Captions available, Family Sharing","{'date': '8 Sep, 2015'}",0.0,4,999,0,08/09/2015 00:00,3135,865
331220,"Action, Indie","Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '4 Dec, 2014'}",1.0,2,799,0,04/12/2014 00:00,3413,106
331340,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '29 Jan, 2015'}",0.0,1,299,0,29/01/2015 00:00,3357,202
331400,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '24 Nov, 2014'}",0.0,1,299,0,24/11/2014 00:00,3423,76
331570,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing","{'date': '5 Jun, 2015'}",0.0,1,399,0,05/06/2015 00:00,3230,75
331720,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '16 Nov, 2015'}",0.0,2,99,0,16/11/2015 00:00,3066,447
332330,Action,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '21 Oct, 2015'}",1.0,1,999,0,21/10/2015 00:00,3092,110
332360,"Animation & Modeling, Design & Illustration, Utilities",Steam Trading Cards,"{'date': '14 Nov, 2014'}",0.0,3,5999,0,14/11/2014 00:00,3433,484
332540,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards","{'date': '21 Jun, 2017'}",0.0,1,0,0,21/06/2017 00:00,2483,420
