ID del juego,cantidad_usuarios
10,420
100,100
1000010,6
1000030,5
1000080,5
1000360,4
1000410,1
1000440,1
1001270,1
1002,1
1002300,11
1002560,2
1003090,2
1003120,1
1003360,1
1003480,1
1003520,10
1003590,1
1003890,2
100410,1
1004240,22
1004490,4
1004750,1
1004770,1
1005120,1
1005240,2
1005300,11
1005930,1
1006400,3
1006710,2
1006930,1
1007040,10
1007350,10
1007400,2
1007840,1
1008080,9
1008210,1
1008710,19
10090,52
1009290,4
1009560,3
1009850,14
1010600,1
1010750,6
1010860,5
1011610,1
1011670,5
1011810,1
1011940,1
1012610,3
1012630,4
1012790,10
1012840,3
1012880,40
10130,2
1013310,3
1013320,7
10150,20
1015480,1
1015500,4
1015720,1
1015730,1
1015770,1
1015890,1
1016120,8
1016600,1
1016790,5
1016800,11
1016920,27
1016950,1
1017100,1
1017180,16
1017410,1
1017900,13
10180,77
1018010,1
1018020,1
1018160,3
1018830,2
1018850,4
10190,78
1019100,5
1019590,1
1019940,2
1020210,1
1020470,6
1020730,1
1020790,3
1020820,2
1021100,2
1021770,5
1021950,2
102200,1
1022310,7
1022450,43
1022700,1
1024380,3
1024650,1
1024800,4
102500,11
1025580,18
1025600,8
1025960,1
102600,24
1026420,6
1026820,12
102700,49
1027220,1
1027250,1
1027820,2
102810,1
102820,2
1028350,1
102840,12
102850,2
1028570,1
1028860,1
1029550,50
1029690,17
1029780,13
1029890,3
1030210,1
1030830,49
1030840,55
1031120,1
1031140,4
1031170,1
1031460,1
1031480,1
1031500,1
1032590,1
1032790,1
1033170,1
1033420,2
1033950,3
1034140,10
1034910,1
1035120,3
1035510,7
1035560,1
1035610,11
1035930,7
1036440,1
1036890,1
1036950,2
1037020,1
1037130,2
1037590,1
1037910,2
1037940,1
1038250,3
1038300,1
1038370,2
1038740,4
1038810,1
1039360,1
1039830,1
1039880,1
1039890,1
1040070,2
104020,1
1040230,4
1040420,1
104100,1
1041320,17
1041720,4
1041920,2
104200,36
1042170,1
1042490,3
1042550,7
1042600,1
1042800,5
10430,2
1043180,1
1043260,4
1043340,1
1043390,1
1044200,8
1044450,6
1044500,1
1044620,9
1044720,9
1045080,1
