ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas
850170,"Action, Strategy, Free to Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '15 Aug, 2023'}",1.0,755
866510,"Adventure, Casual, Indie","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'coming_soon': False, 'date': '6 Jun, 2018'}",1.0,7
820030,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Family Sharing","{'coming_soon': False, 'date': '19 Jun, 2018'}",0.0,7
967250,"Action, Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'coming_soon': False, 'date': '5 Nov, 2018'}",0.0,0
703880,"Action, Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Captions available, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '6 Nov, 2018'}",1.0,0
994910,"Casual, Massively Multiplayer, Simulation, Strategy, Free to Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '23 Sep, 2020'}",1.0,116
1013320,"Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Free to Play, Early Access","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet","{'coming_soon': False, 'date': '26 Sep, 2019'}",1.0,2182
500710,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, MMO, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, In-App Purchases","{'coming_soon': False, 'date': '18 Dec, 2017'}",1.0,14
1098340,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'coming_soon': False, 'date': '24 Jun, 2019'}",0.0,2
1015500,"Simulation, Sports","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'coming_soon': False, 'date': '21 Oct, 2019'}",1.0,14
1245610,"Casual, Free to Play, Massively Multiplayer","Multi-player, MMO, Co-op, Online Co-op, In-App Purchases","{'coming_soon': False, 'date': '4 Apr, 2020'}",1.0,69
287630,"Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV","{'coming_soon': False, 'date': '13 Mar, 2018'}",0.0,26
1333350,"Adventure, RPG, Strategy, Free to Play","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases","{'coming_soon': False, 'date': '14 Aug, 2020'}",1.0,469
1463920,"Casual, Indie, Free to Play","Single-player, Steam Achievements, Steam Cloud","{'coming_soon': False, 'date': '15 Jan, 2021'}",0.0,64
1535560,"Casual, Free to Play, Indie, RPG, Simulation, Early Access","Single-player, Steam Achievements, In-App Purchases","{'coming_soon': False, 'date': '25 Aug, 2022'}",0.0,2382
1540960,"Free to Play, Indie, Strategy","Single-player, Steam Achievements, In-App Purchases, Steam Cloud","{'coming_soon': False, 'date': '2 Feb, 2023'}",0.0,274
1269260,Strategy,"Single-player, Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': ''}",1.0,3
1641650,"Free to Play, Simulation","Single-player, Multi-player, PvP, Online PvP, In-App Purchases","{'coming_soon': False, 'date': '23 Jun, 2021'}",1.0,383
1022310,"Casual, Strategy","Multi-player, PvP, Online PvP, Family Sharing","{'coming_soon': False, 'date': '21 Apr, 2020'}",1.0,4
