ID del juego,Fecha de Lanzamiento
850170,"{'coming_soon': False, 'date': '15 Aug, 2023'}"
866510,"{'coming_soon': False, 'date': '6 Jun, 2018'}"
820030,"{'coming_soon': False, 'date': '19 Jun, 2018'}"
967250,"{'coming_soon': False, 'date': '5 Nov, 2018'}"
703880,"{'coming_soon': False, 'date': '6 Nov, 2018'}"
994910,"{'coming_soon': False, 'date': '23 Sep, 2020'}"
1013320,"{'coming_soon': False, 'date': 'Sep 26, 2019'}"
500710,"{'coming_soon': False, 'date': '18 Dec, 2017'}"
1098340,"{'coming_soon': False, 'date': '24 Jun, 2019'}"
1015500,"{'coming_soon': False, 'date': '21 Oct, 2019'}"
1245610,"{'coming_soon': False, 'date': '4 Apr, 2020'}"
287630,"{'coming_soon': False, 'date': '13 Mar, 2018'}"
1333350,"{'coming_soon': False, 'date': '14 Aug, 2020'}"
1463920,"{'coming_soon': False, 'date': '15 Jan, 2021'}"
1535560,"{'coming_soon': False, 'date': '25 Aug, 2022'}"
1540960,"{'coming_soon': False, 'date': '2 Feb, 2023'}"
1269260,"{'coming_soon': False, 'date': ''}"
1641650,"{'coming_soon': False, 'date': '23 Jun, 2021'}"
1022310,"{'coming_soon': False, 'date': '21 Apr, 2020'}"
1353300,"{'coming_soon': False, 'date': '21 Dec, 2020'}"
1690710,"{'coming_soon': False, 'date': '22 Jul, 2022'}"
1777760,"{'coming_soon': False, 'date': '26 Nov, 2021'}"
937310,"{'coming_soon': False, 'date': '6 May, 2021'}"
1878910,"{'coming_soon': False, 'date': '13 Jan, 2023'}"
1891700,"{'coming_soon': False, 'date': '17 Mar, 2022'}"
1964220,"{'coming_soon': False, 'date': '23 Aug, 2022'}"
1985170,"{'coming_soon': False, 'date': '19 Oct, 2023'}"
1990690,"{'coming_soon': False, 'date': '2 Feb, 2023'}"
2066550,"{'coming_soon': False, 'date': '26 Jul, 2022'}"
2067850,"{'coming_soon': False, 'date': '16 May, 2023'}"
1117350,"{'coming_soon': False, 'date': '24 Jan, 2023'}"
1582500,"{'coming_soon': False, 'date': '20 Oct, 2022'}"
2333480,"{'coming_soon': False, 'date': '9 Jan, 2024'}"
2349820,"{'coming_soon': False, 'date': '17 May, 2023'}"
2368470,"{'coming_soon': False, 'date': '16 Nov, 2023'}"
544610,"{'coming_soon': False, 'date': '31 Aug, 2017'}"
226620,"{'coming_soon': False, 'date': '18 Apr, 2023'}"
2391710,"{'coming_soon': False, 'date': '10 Nov, 2023'}"
1092040,"{'coming_soon': False, 'date': '15 Dec, 2020'}"
443910,"{'coming_soon': False, 'date': '16 Jun, 2016'}"
2484110,"{'coming_soon': False, 'date': '6 Dec, 2023'}"
2529130,"{'coming_soon': False, 'date': '31 Aug, 2023'}"
2594640,"{'coming_soon': False, 'date': '8 Dec, 2023'}"
2140510,"{'coming_soon': False, 'date': '25 Aug, 2023'}"
630360,"{'coming_soon': False, 'date': '19 Jul, 2017'}"
1188260,"{'coming_soon': False, 'date': '22 Dec, 2019'}"
1035510,"{'coming_soon': False, 'date': '8 Dec, 2020'}"
311250,"{'coming_soon': False, 'date': '17 Sep, 2014'}"
334670,
7860,"{'coming_soon': False, 'date': '20 May, 2009'}"
32330,"{'coming_soon': False, 'date': '8 Jul, 2009'}"
21120,"{'coming_soon': False, 'date': '21 May, 2010'}"
42670,"{'coming_soon': False, 'date': '30 Jun, 2010'}"
99810,
63950,"{'coming_soon': False, 'date': '19 Jul, 2011'}"
57900,"{'coming_soon': False, 'date': '9 Jun, 2011'}"
12130,"{'coming_soon': False, 'date': '6 Jan, 2011'}"
212630,"{'coming_soon': False, 'date': '26 Jun, 2012'}"
4720,"{'coming_soon': False, 'date': '29 Oct, 2012'}"
3270,"{'coming_soon': False, 'date': '30 Oct, 2007'}"
6920,"{'coming_soon': False, 'date': '29 Mar, 2007'}"
6980,"{'coming_soon': False, 'date': '29 Mar, 2007'}"
8080,"{'coming_soon': False, 'date': '13 Dec, 2007'}"
242960,"{'coming_soon': False, 'date': '24 Sep, 2013'}"
407810,"{'coming_soon': False, 'date': '3 Jun, 2016'}"
259170,"{'coming_soon': False, 'date': '29 Oct, 2013'}"
460810,"{'coming_soon': False, 'date': '25 May, 2017'}"
728740,"{'coming_soon': False, 'date': '13 May, 2019'}"
964800,"{'coming_soon': False, 'date': '23 Sep, 2022'}"
969990,"{'coming_soon': False, 'date': '23 Jun, 2020'}"
996580,"{'coming_soon': False, 'date': '3 Sep, 2019'}"
548570,"{'coming_soon': False, 'date': '13 May, 2019'}"
1920490,"{'coming_soon': False, 'date': '7 Mar, 2023'}"
2096610,"{'coming_soon': False, 'date': '17 Nov, 2022'}"
17710,"{'coming_soon': False, 'date': '26 Sep, 2011'}"
608110,"{'coming_soon': False, 'date': '3 May, 2018'}"
15380,"{'coming_soon': False, 'date': '10 Oct, 2008'}"
1630,"{'coming_soon': False, 'date': '6 Jul, 2006'}"
1640,"{'coming_soon': False, 'date': '6 Jul, 2006'}"
65600,"{'coming_soon': False, 'date': '22 Mar, 2011'}"
227260,"{'coming_soon': False, 'date': '29 Mar, 2013'}"
1281800,"{'coming_soon': False, 'date': '29 Apr, 2020'}"
1286530,"{'coming_soon': False, 'date': '30 Apr, 2020'}"
1287840,"{'coming_soon': False, 'date': '21 Oct, 2021'}"
34190,"{'coming_soon': False, 'date': '3 Mar, 2010'}"
3330,"{'coming_soon': False, 'date': '30 Aug, 2006'}"
280180,"{'coming_soon': False, 'date': '31 May, 2017'}"
439350,"{'coming_soon': False, 'date': '11 Nov, 2019'}"
513510,"{'coming_soon': False, 'date': 'Nov 4, 2016'}"
529110,"{'coming_soon': False, 'date': '21 Oct, 2016'}"
542310,"{'coming_soon': False, 'date': '13 Oct, 2016'}"
589870,"{'coming_soon': False, 'date': '12 May, 2017'}"
624270,"{'coming_soon': False, 'date': '27 Sep, 2017'}"
637850,"{'coming_soon': False, 'date': '27 May, 2017'}"
659190,"{'coming_soon': False, 'date': '10 Nov, 2017'}"
696140,"{'coming_soon': False, 'date': '2 Oct, 2017'}"
715220,"{'coming_soon': False, 'date': '18 Dec, 2019'}"
809870,"{'coming_soon': False, 'date': '4 Sep, 2018'}"
813630,"{'coming_soon': False, 'date': '5 Apr, 2019'}"
553660,"{'coming_soon': False, 'date': '6 Apr, 2018'}"
885640,"{'coming_soon': False, 'date': '13 Jul, 2018'}"
908050,"{'coming_soon': False, 'date': '16 Jul, 2019'}"
519860,"{'coming_soon': False, 'date': '10 Dec, 2018'}"
1028570,"{'coming_soon': False, 'date': '12 Mar, 2019'}"
1037130,"{'coming_soon': False, 'date': '25 Mar, 2021'}"
1086410,"{'coming_soon': False, 'date': '4 Dec, 2020'}"
1105620,"{'coming_soon': False, 'date': '26 Aug, 2019'}"
1122720,"{'coming_soon': False, 'date': '12 Dec, 2019'}"
382560,"{'coming_soon': False, 'date': '19 Sep, 2019'}"
1227800,"{'coming_soon': False, 'date': '21 Feb, 2020'}"
555000,"{'coming_soon': False, 'date': '10 Jul, 2019'}"
1377150,"{'coming_soon': False, 'date': '28 Aug, 2020'}"
584640,"{'coming_soon': False, 'date': '24 Sep, 2021'}"
2231450,"{'coming_soon': False, 'date': '26 Jan, 2023'}"
2291760,"{'coming_soon': False, 'date': '31 Mar, 2023'}"
19980,"{'coming_soon': False, 'date': '10 Dec, 2008'}"
356330,
650700,"{'coming_soon': False, 'date': '9 Jan, 2018'}"
740250,"{'coming_soon': False, 'date': '4 May, 2018'}"
1761390,"{'coming_soon': False, 'date': '26 May, 2022'}"
33900,"{'coming_soon': False, 'date': ''}"
245130,
241560,"{'coming_soon': False, 'date': '2 Dec, 2014'}"
12250,"{'coming_soon': False, 'date': ''}"
1526180,"{'coming_soon': False, 'date': '12 Nov, 2021'}"
672630,"{'coming_soon': False, 'date': '28 Jan, 2021'}"
691020,"{'coming_soon': False, 'date': '22 Feb, 2018'}"
1136380,"{'coming_soon': False, 'date': '22 Aug, 2022'}"
1179680,"{'coming_soon': False, 'date': '24 Jul, 2020'}"
816180,"{'coming_soon': False, 'date': '26 Apr, 2018'}"
1421230,"{'coming_soon': False, 'date': '8 Oct, 2020'}"
1449690,"{'coming_soon': False, 'date': '29 Oct, 2020'}"
320240,"{'coming_soon': False, 'date': '10 Aug, 2018'}"
914620,"{'coming_soon': False, 'date': '14 Aug, 2018'}"
1743830,"{'coming_soon': False, 'date': '20 Jul, 2023'}"
40400,"{'coming_soon': False, 'date': '21 Oct, 2009'}"
65560,"{'coming_soon': False, 'date': '25 Feb, 2011'}"
