ID del juego,Géneros,Categorías,Fecha de Lanzamiento,Multiplayer,Cantidad de descargas,Precio,In-Purchased
330450,"Action, Casual, Indie","Single-player, Multi-player, Steam Achievements, Steam Trading Cards","{'date': '16 Oct, 2015'}",1.0,0,0,0
330680,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '18 Nov, 2014'}",0.0,0,599,0
275060,"Action, Adventure","Single-player, Multi-player, Co-op, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing","{'date': '11 Jun, 2015'}",1.0,1,399,0
331190,"Action, Indie","Single-player, Full controller support, Steam Trading Cards, Captions available, Family Sharing","{'date': '8 Sep, 2015'}",0.0,0,999,0
331220,"Action, Indie","Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '4 Dec, 2014'}",1.0,0,799,0
331340,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '29 Jan, 2015'}",0.0,0,299,0
331400,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '24 Nov, 2014'}",0.0,0,299,0
331570,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Family Sharing","{'date': '5 Jun, 2015'}",0.0,0,399,0
331720,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '16 Nov, 2015'}",0.0,0,99,0
332330,Action,"Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","{'date': '21 Oct, 2015'}",1.0,1,999,0
332360,"Animation & Modeling, Design & Illustration, Utilities",Steam Trading Cards,"{'date': '14 Nov, 2014'}",0.0,4,5999,0
332540,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards","{'date': '21 Jun, 2017'}",0.0,0,0,0
332580,"Adventure, Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '20 Jan, 2015'}",0.0,2,119,0
332620,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Nov, 2015'}",0.0,0,599,0
332730,"Action, Indie","Multi-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Family Sharing","{'date': '12 Feb, 2015'}",1.0,0,499,0
332830,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","{'date': '10 Dec, 2014'}",0.0,0,399,0
246110,"Indie, Strategy","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","{'date': '1 Jun, 2015'}",0.0,4,1999,0
333210,"Action, Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '23 Apr, 2015'}",0.0,1,399,0
333330,"Action, Indie, RPG","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Steam Trading Cards, Remote Play Together, Family Sharing","{'date': '13 Jan, 2015'}",1.0,0,499,0
333340,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Early Access","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing","{'date': '6 Jul, 2016'}",1.0,0,1199,0
333660,"Action, Indie, Strategy","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","{'date': '5 Jan, 2015'}",1.0,0,299,0
333730,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '26 Jan, 2015'}",0.0,0,399,0
333970,"Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Remote Play Together, Family Sharing","{'date': '25 Feb, 2015'}",1.0,0,799,0
334270,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '16 Dec, 2014'}",0.0,0,999,0
334710,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '25 Nov, 2014'}",0.0,1,299,0
276810,"RPG, Strategy","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '19 Nov, 2015'}",1.0,131,1999,0
334840,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing","{'date': '30 Jan, 2015'}",1.0,0,499,0
335010,Indie,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '9 Feb, 2015'}",0.0,0,499,0
335090,"Action, Indie, Racing","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '16 Jan, 2015'}",0.0,0,499,0
335100,"Indie, Strategy","Single-player, Multi-player, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Includes level editor, Family Sharing","{'date': '23 Dec, 2014'}",1.0,1,99,0
335200,"Action, Adventure","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together, Family Sharing","{'date': '17 Apr, 2015'}",1.0,0,699,0
335840,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","{'date': '6 Feb, 2015'}",0.0,0,499,0
335920,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","{'date': '3 Feb, 2015'}",0.0,0,0,0
336060,"Action, Casual","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","{'date': '13 Feb, 2015'}",0.0,0,499,0
336080,Strategy,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","{'date': '5 Mar, 2015'}",0.0,3,999,0
336090,"Action, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Steam Turn Notifications, Includes level editor, Commentary available, Remote Play Together, Family Sharing","{'date': '16 Dec, 2014'}",1.0,0,999,0
336250,"Action, Racing, Sports","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Leaderboards, Remote Play on TV, Family Sharing","{'date': '10 Jun, 2015'}",0.0,0,0,0
336710,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","{'date': '29 Jan, 2015'}",0.0,0,599,0
336730,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing","{'date': '29 Jan, 2015'}",0.0,0,599,0
337180,Action,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing","{'date': '19 Aug, 2015'}",0.0,0,0,0
337270,"Adventure, Casual, Indie, RPG","Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial Controller Support, Stats, Steam Leaderboards, Includes level editor, Family Sharing","{'date': '8 Jan, 2015'}",1.0,0,499,0
337210,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Stats, Family Sharing","{'date': '10 Aug, 2015'}",0.0,0,299,0
337730,"Action, Casual, Indie","Single-player, Multi-player, Shared/Split Screen, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing","{'date': '17 Mar, 2015'}",1.0,0,999,0
