ID del juego,Repeticiones,Minutos Totales
461640,16,2272
730,2201,163900967
578080,1154,14551538
570,1446,205507599
42690,77,1199323
235600,31,53625
364470,24,36566
386360,326,1195461
444200,205,610893
601510,136,500801
386180,179,172093
813820,272,184768
10,420,8253774
714010,507,212110
1556200,6,1265
550,981,5949968
207610,109,946275
239030,97,33002
251570,279,1394563
271590,739,13638601
381210,412,5427574
427820,9,2274
431730,13,30166
431960,720,2764726
434170,20,12218
493490,36,44396
524660,4,195406
535930,36,23485
540840,11,2007
493340,54,51520
594330,10,4348
610180,16,4183
613100,76,81575
621060,73,58412
665300,6,85167
414340,58,19883
704850,42,21066
714120,9,2327
739630,458,1035948
770810,4,586
774461,10,2049
750920,64,59282
863550,169,125841
532210,26,14063
880940,153,140760
728880,117,59282
883710,88,150420
936790,4,3111
945360,669,1033099
673950,22,96967
960910,13,6335
960990,18,19393
703080,47,68054
1097150,372,1548300
1118240,3,1015
1135690,18,4096
1160920,3,573
1172470,739,6554777
1190970,7,2011
1194630,10,3899
1196590,59,63296
1174180,193,891007
1218280,1,5
1222140,46,33763
1222670,194,166313
442070,44,4467
1281590,8,2508
1332010,49,19660
860510,18,6562
1421250,7,2795
1563180,13,6452
1567020,3,1856
1585220,4,527
1593500,63,100568
1609080,4,479
1629520,6,1802
1651560,3,2178
1659040,22,26168
990080,137,319319
2200780,3,107
2249160,3,175
2357570,88,271591
2667970,12,155
2670630,13,8973
130,47,66788
1200,8,205
3810,6,1724
3970,2,115
2620,7,12923
2630,13,45597
2640,5,1845
1520,9,3288
6220,8,1407
2990,33,8347
7600,5,2718
4520,1,12
2590,3,215
12160,3,849
12140,16,7557
15270,3,1076
12360,9,8268
3050,1,38
10090,52,124146
17470,30,9116
15620,38,22406
21780,2,38473
16720,8,314
32670,2,112
21980,10,1741
6060,73,55773
32350,4,170
15190,3,539
19800,2,46
35300,2,25
8600,25,2415
8690,1,1
4560,22,8241
228200,36,31599
24800,14,6566
24840,12,3576
32420,5,181
1500,5,175
500,145,305133
3230,1,214
22310,1,10
12480,1,14
3730,4,191
3130,7,3237
24960,74,69762
32470,21,59897
42960,21,151221
39670,2,70
9010,9,4042
47780,34,18407
73010,2,1434
73170,6,4778
21090,22,11614
21110,10,1577
39530,6,770
42890,1,7
46540,10,1543
95900,6,2241
55150,57,41832
35320,3,313
63940,1,223
70640,3,84
200020,1,13
203990,5,390
64000,11,15553
202310,6,2314
102600,24,11962
200630,1,73
206690,3,77
204140,3,163
108710,71,42061
204860,3,3056
207150,6,786
46290,1,69
6870,10,2185
6880,17,1727
209100,9,7710
98300,3,2063
205350,15,676
211780,1,1
7770,1,95
11420,2,2350
11480,2,966
25800,9,6106
113200,95,76729
214150,3,1237
80,202,80255
100,100,19987
240,354,4203534
215670,6,697
72000,5,1004
200510,58,100280
218510,25,5403
7830,8,20123
217790,4,1831
65740,4,1424
8100,1,42
214590,10,2384
33620,5,624
224900,15,4017
55230,155,242623
225140,13,3479
44690,1,1
46260,6,599
12110,56,140730
201790,61,34785
208520,7,2469
204080,11,2219
102700,49,59294
113400,157,216593
200210,123,135664
208090,123,38583
212070,57,15979
234310,11,761
238960,278,2366289
223710,192,51765
224260,267,137930
21690,83,76755
221040,78,262248
1250,167,1110860
234940,12,1984
65930,59,15355
231430,188,581245
238210,13,1842
10680,33,27434
222480,24,75091
231740,12,7257
224420,36,7877
9480,65,38626
10460,2,53
251630,2,20
252170,7,1324
253610,2,91
253880,20,4967
253920,27,8857
246090,3,228
256190,16,10120
15320,4,220
257750,17,3291
232010,27,7166
20530,6,1876
20550,4,254
260650,2,21
244090,7,1151
238430,44,14528
212010,5,526
214910,4,4856
264730,10,2262
34820,5,877
2210,4,2965
273110,204,381778
208670,7,2332
244450,43,97992
275510,9,2378
275530,3,196
277430,12,2908
280380,1,94
281260,1,9
281370,9,1062
281410,1,112
283290,30,3261
283370,2,10
283410,2,179
227100,22,7581
247910,15,5271
284160,78,226243
286040,13,10035
287020,3,164
36700,2,77
227560,10,4503
287340,10,2147
289300,2,430
289340,1,511
289580,1,20
292410,27,5145
294190,4,1479
289890,5,1701
299050,1,2
299260,14,2100
302080,9,1144
304930,925,3355340
305260,12,500
311120,5,840
311140,4,607
311400,1,14
311870,9,1393
312990,104,16278
55100,46,8217
315550,3,206
317360,64,7870
319150,15,16224
320340,3,929
8170,9,2961
320840,2,218
287450,21,12763
323190,82,93219
324570,5,372
327010,4,2430
261640,115,118808
223650,13,1301
330070,3,56383
